product_name, product_hash, product_link, product_image_link, product_discount, product_price
Xiaomi Redmi 4A Mobile Phone [2GB RAM  32GB ROM] - Dark Grey,XI094EL0BP1EONAFAMZ,https%3A%2F%2Fwww.daraz.com.np%2Fxiaomi-redmi-4a-mobile-phone-2gb-ram-32gb-rom-dark-grey-44691.html,https%3A%2F%2Fnp.daraz.io%2F9lOyu0H1xChksP0jqwBqd6c3no8%3D%2Ffit-in%2F220x220%2Ffilters%3Afill%28white%29%3Asharpen%281%2C0%2Cfalse%29%3Aquality%2880%29%2Fproduct%2F19%2F644%2F1.jpg%3F9674,-19%,10499
Xiaomi Redmi 4A Mobile Phone [2GB + 16GB] - Dark Grey,XI094EL05QPCWNAFAMZ,https%3A%2F%2Fwww.daraz.com.np%2Fxiaomi-redmi-4a-mobile-phone-2gb-16gb-dark-grey-44690.html,https%3A%2F%2Fnp.daraz.io%2FFGmw3QjIouw9_maT_54huhGQxbs%3D%2Ffit-in%2F220x220%2Ffilters%3Afill%28white%29%3Asharpen%281%2C0%2Cfalse%29%3Aquality%2880%29%2Fproduct%2F09%2F644%2F1.jpg%3F1090,-20%,9199
Nokia 8 Smartphone [4 GB RAM  64 GB ROM]- Glossy Blue,NO743EL03F4VCNAFAMZ,https%3A%2F%2Fwww.daraz.com.np%2Fnokia-8-smartphone-4-gb-ram-64-gb-rom-glossy-blue-54750.html,https%3A%2F%2Fnp.daraz.io%2F9GYyuj2M-GNRUIUB6PCblcsje6Q%3D%2Ffit-in%2F220x220%2Ffilters%3Afill%28white%29%3Asharpen%281%2C0%2Cfalse%29%3Aquality%2880%29%2Fproduct%2F05%2F745%2F1.jpg%3F5279,-32%,43000
Xiaomi MI 6 Android Smart Mobile Phone [6 GB RAM  64 GB ROM] - Black,XI094EL1KYKZKNAFAMZ,https%3A%2F%2Fwww.daraz.com.np%2Fxiaomi-mi-6-android-smart-mobile-phone-6-gb-ram-64-gb-rom-black-27659.html,https%3A%2F%2Fnp.daraz.io%2FiPHx8EU9hgmUJNd6GABP2kn8wEw%3D%2Ffit-in%2F220x220%2Ffilters%3Afill%28white%29%3Asharpen%281%2C0%2Cfalse%29%3Aquality%2880%29%2Fproduct%2F95%2F672%2F1.jpg%3F1011,-20%,44000
Xiaomi Mi A1 [4GB RAM  64GB ROM] - Gold,XI094EL1GOA7CNAFAMZ,https%3A%2F%2Fwww.daraz.com.np%2Fa1-smart-phone-64gb-rom-4.0gb-ram-5.5-gold-xiaomi-mpg22.html,https%3A%2F%2Fnp.daraz.io%2FytyypOcHlwnE8jhDbyrYg8o8meY%3D%2Ffit-in%2F220x220%2Ffilters%3Afill%28white%29%3Asharpen%281%2C0%2Cfalse%29%3Aquality%2880%29%2Fproduct%2F88%2F473%2F1.jpg%3F3121,-18%,24499
Samsung Galaxy S9 - 5.8" QHD+ - 4GB RAM - 64GB ROM - 12/8MP Camera  - Purple,SA884EL0LHYQCNAFAMZ,https%3A%2F%2Fwww.daraz.com.np%2Fsamsung-galaxy-s9-5.8-qhd-4gb-ram-64gb-rom-128mp-camera-purple-101163.html,https%3A%2F%2Fnp.daraz.io%2FeJIII4q-WZLd12-kEwSbGIk8vOA%3D%2Ffit-in%2F220x220%2Ffilters%3Afill%28white%29%3Asharpen%281%2C0%2Cfalse%29%3Aquality%2880%29%2Fproduct%2F36%2F1101%2F1.jpg%3F5610,-4%,84384
Xiaomi MI-5  [3GB RAM + 32GB ROM] - White,XI094EL11AT4KNAFAMZ,https%3A%2F%2Fwww.daraz.com.np%2Fxiaomi-mi-5-3gb-ram-32gb-rom-white-105626.html,https%3A%2F%2Fnp.daraz.io%2FBdwsyVBtTGJUL34VoW8kZ3B-EgQ%3D%2Ffit-in%2F220x220%2Ffilters%3Afill%28white%29%3Asharpen%281%2C0%2Cfalse%29%3Aquality%2880%29%2Fproduct%2F62%2F6501%2F1.jpg%3F1011,-20%,28000
Huawei Nova 2I (64GB ROM  4GB RAM) - Blue,HU471EL14I4D0NAFAMZ,https%3A%2F%2Fwww.daraz.com.np%2Fhuawei-nova-2i-64gb-rom-4gb-ram-blue-103086.html,https%3A%2F%2Fnp.daraz.io%2FzljHxVh_U_NpwnS3_Bz4cT1Fn1g%3D%2Ffit-in%2F220x220%2Ffilters%3Afill%28white%29%3Asharpen%281%2C0%2Cfalse%29%3Aquality%2880%29%2Fproduct%2F68%2F0301%2F1.jpg%3F5174,-10%,30595
Xiaomi Redmi Note 4 Smart Mobile Phone [4GB RAM  64GB ROM - Black],XI094EL1CMIIONAFAMZ,https%3A%2F%2Fwww.daraz.com.np%2Fxiaomi-redmi-note-4-smart-mobile-phone-4gb-ram-64gb-rom-black-27618.html,https%3A%2F%2Fnp.daraz.io%2FbS-uqm1Pp4sXPKhSj0bOSFPRr8w%3D%2Ffit-in%2F220x220%2Ffilters%3Afill%28white%29%3Asharpen%281%2C0%2Cfalse%29%3Aquality%2880%29%2Fproduct%2F81%2F672%2F1.jpg%3F3119,-20%,20699
Xiaomi Redmi Note 4 [3GB RAM  32GB ROM] - Black,XI094EL16O6GWNAFAMZ,https%3A%2F%2Fwww.daraz.com.np%2Fxiaomi-redmi-note-4-3gb-ram-32gb-rom-black-27617.html,https%3A%2F%2Fnp.daraz.io%2FRC3C6bcG7JdgciR7DSlqlzOzYGY%3D%2Ffit-in%2F220x220%2Ffilters%3Afill%28white%29%3Asharpen%281%2C0%2Cfalse%29%3Aquality%2880%29%2Fproduct%2F71%2F672%2F1.jpg%3F3119,-19%,18699
Xiaomi Redmi 3S Prime (32 GB ROM + 3 GB RAM) 5.0" - Gold,XI094EL0DHXTSNAFAMZ,https%3A%2F%2Fwww.daraz.com.np%2Fxiaomi-redmi-3s-prime-32-gb-rom-3-gb-ram-5.0-gold-27622.html,https%3A%2F%2Fnp.daraz.io%2FIHtCknMrkuX6NAl4mv1dRugzvcc%3D%2Ffit-in%2F220x220%2Ffilters%3Afill%28white%29%3Asharpen%281%2C0%2Cfalse%29%3Aquality%2880%29%2Fproduct%2F22%2F672%2F1.jpg%3F3119,-25%,15299
Xiaomi Redmi Note 5A Prime [3 GB RAM  32 GB ROM] - Gold,XI094EL0NRQBSNAFAMZ,https%3A%2F%2Fwww.daraz.com.np%2Fxiaomi-redmi-note-5a-prime-3-gb-ram-32-gb-rom-gold-52993.html,https%3A%2F%2Fnp.daraz.io%2FgCEGtesCJM4KmmHNA6c7JmFXXf4%3D%2Ffit-in%2F220x220%2Ffilters%3Afill%28white%29%3Asharpen%281%2C0%2Cfalse%29%3Aquality%2880%29%2Fproduct%2F39%2F925%2F1.jpg%3F4717,-20%,17299
Huawei Y9 2018 Nova 2i Lite (3GB RAM  32GB ROM) - Blue,HU471EL0IRDCKNAFAMZ,https%3A%2F%2Fwww.daraz.com.np%2Fhuawei-y9-2018-nova-2i-lite-3gb-ram-32gb-rom-blue-101513.html,https%3A%2F%2Fnp.daraz.io%2FIhPrGNcrK_ZsP61nDKMJtRiEmaI%3D%2Ffit-in%2F220x220%2Ffilters%3Afill%28white%29%3Asharpen%281%2C0%2Cfalse%29%3Aquality%2880%29%2Fproduct%2F31%2F5101%2F1.jpg%3F0489,-7%,24200
Xiaomi Redmi Note 5A Smart Moblile Phone ( 2 GB RAM  16 GB ROM) - Gold,XI094EL0C5BTSNAFAMZ,https%3A%2F%2Fwww.daraz.com.np%2Fxiaomi-redmi-note-5a-smart-moblile-phone-2-gb-ram-16-gb-rom-gold-40402.html,https%3A%2F%2Fnp.daraz.io%2FjZKaP3sI5k1QpKK2HLlylrq5fko%3D%2Ffit-in%2F220x220%2Ffilters%3Afill%28white%29%3Asharpen%281%2C0%2Cfalse%29%3Aquality%2880%29%2Fproduct%2F20%2F404%2F1.jpg%3F3120,-14%,13799
Samsung G610F J7 Prime (3GB RAM  32GB ROM) - Gold,SA884EL1CWBZONAFAMZ,https%3A%2F%2Fwww.daraz.com.np%2Fsamsung-g610f-j7-prime-3gb-ram-32gb-rom-gold-103128.html,https%3A%2F%2Fnp.daraz.io%2FBzhywcB-rjTCER5eXaJ55Q3SC60%3D%2Ffit-in%2F220x220%2Ffilters%3Afill%28white%29%3Asharpen%281%2C0%2Cfalse%29%3Aquality%2880%29%2Fproduct%2F82%2F1301%2F1.jpg%3F3899,-8%,23514
Xiaomi Redmi Note 4 Smart Mobile Phone [3GB RAM  32GB ROM - Grey],XI094EL06QWLKNAFAMZ,https%3A%2F%2Fwww.daraz.com.np%2Fxiaomi-redmi-note-4-smart-mobile-phone-3gb-ram-32gb-rom-grey-33311.html,https%3A%2F%2Fnp.daraz.io%2FpdUO8mOuKDesePC5zAJ0t0iQl68%3D%2Ffit-in%2F220x220%2Ffilters%3Afill%28white%29%3Asharpen%281%2C0%2Cfalse%29%3Aquality%2880%29%2Fproduct%2F11%2F333%2F1.jpg%3F3156,-19%,18699
OBI SF1 (3GB RAM  32GB ROM) -Black,OB756EL1IRYQONAFAMZ,https%3A%2F%2Fwww.daraz.com.np%2Fsf1-smartphone-3gb-ram-32gb-rom-black-obi-mpg25.html,https%3A%2F%2Fnp.daraz.io%2FkXHAKMuTEm7XnzsVsr5JV_y2T3A%3D%2Ffit-in%2F220x220%2Ffilters%3Afill%28white%29%3Asharpen%281%2C0%2Cfalse%29%3Aquality%2880%29%2Fproduct%2F92%2F004%2F1.jpg%3F3545,-49%,12000
Micromax Canvas 1 [2GB RAM + 16GB ROM] Smart Mobile Phone - (Black),MI671EL03KLPGNAFAMZ,https%3A%2F%2Fwww.daraz.com.np%2Fmicromax-canvas-1-2gb-ram-16gb-rom-smart-mobile-phone-black-100060.html,https%3A%2F%2Fnp.daraz.io%2FLIYkpwAbvUGyDYLrmWaqIi8ZIto%3D%2Ffit-in%2F220x220%2Ffilters%3Afill%28white%29%3Asharpen%281%2C0%2Cfalse%29%3Aquality%2880%29%2Fproduct%2F06%2F0001%2F1.jpg%3F0805,-14%,10700
Samsung Galaxy Alpha [2 GB RAM  32 GB ROM] 4.7" - (Black),SA884EL0KSO8KNAFAMZ,https%3A%2F%2Fwww.daraz.com.np%2Fsamsung-galaxy-alpha-2-gb-ram-32-gb-rom-4.7-black-103943.html,https%3A%2F%2Fnp.daraz.io%2FmTOpYJhxWiOREXpFiQDbZlvuDW4%3D%2Ffit-in%2F220x220%2Ffilters%3Afill%28white%29%3Asharpen%281%2C0%2Cfalse%29%3Aquality%2880%29%2Fproduct%2F34%2F9301%2F1.jpg%3F7339,-77%,16500
ZTE Blade L5 (1 GB RAM  8 GB ROM) 5.0"- Black,ZT122EL1M2MF8NAFAMZ,https%3A%2F%2Fwww.daraz.com.np%2Fzte-blade-l5-1-gb-ram-8-gb-rom-5.0-black-104579.html,https%3A%2F%2Fnp.daraz.io%2FJ8mUNCwtcHXyVAKGGug2-Z1RUTQ%3D%2Ffit-in%2F220x220%2Ffilters%3Afill%28white%29%3Asharpen%281%2C0%2Cfalse%29%3Aquality%2880%29%2Fproduct%2F97%2F5401%2F1.jpg%3F1408,-41%,5000
Huawei Y9 2018 Nova 2i Lite (3GB RAM  32GB ROM) - Gold,HU471EL0OPPECNAFAMZ,https%3A%2F%2Fwww.daraz.com.np%2Fhuawei-y9-2018-nova-2i-lite-3gb-ram-32gb-rom-gold-101514.html,https%3A%2F%2Fnp.daraz.io%2Fdtm6uEOQN3oiXGt-IfnDMm3baQc%3D%2Ffit-in%2F220x220%2Ffilters%3Afill%28white%29%3Asharpen%281%2C0%2Cfalse%29%3Aquality%2880%29%2Fproduct%2F41%2F5101%2F1.jpg%3F0568,-7%,24200
Colors  S11  (3GB RAM  16GB ROM)-Black,CO221EL1DZQ4GNAFAMZ,https%3A%2F%2Fwww.daraz.com.np%2Fcolors-s11-3gb-ram-16gb-rom-black-86938.html,https%3A%2F%2Fnp.daraz.io%2FTWgUOcbZ5FknoLGbiOvSkV6lTU8%3D%2Ffit-in%2F220x220%2Ffilters%3Afill%28white%29%3Asharpen%281%2C0%2Cfalse%29%3Aquality%2880%29%2Fproduct%2F83%2F968%2F1.jpg%3F8464,-24%,12499
